   	NODE	LAT	LON	LENGTH	AZIMUTH	DISTANCE	RANGE
158	158	59,8381582	30,469375	29,4309055878706	144,746573260121	12008,574805077	11720,7600192863
159	159	59,8366333	30,4715208	208,181682785896	144,738673432809	12216,7564878629	11928,3290319172
160	160	59,8351329	30,4736159	204,315499073389	144,945515214183	12421,0719869363	12132,1170045548
161	161	59,8339656	30,475257	159,317691977626	144,760800997343	12580,3896789139	12290,9982421617
162	162	59,8335412	30,4758546	57,9545858852728	144,717400746823	12638,3442647992	12348,7936434661
163	163	59,8329906	30,4766296	75,1786667058663	144,727613236256	12713,522931505	12423,7688411783
164	164	59,8306242	30,4799605	323,113693377736	144,726672628166	13036,6366248828	12746,0340334779
165	165	59,8281985	30,4833462	330,291436913934	144,952210989173	13366,9280617967	13075,5884675821
166	166	59,826943	30,4850961	170,876227134673	144,988377539728	13537,8042889314	13246,1044964852
167	167	59,8262445	30,4860776	95,3247617144614	144,768377711297	13633,1290506459	13341,2080689132
168	168	59,8254936	30,4871319	102,44964232076	144,789056886663	13735,5786929666	13443,4258918218
169	169	59,8248837	30,4879886	83,2247798577753	144,776761278746	13818,8034728244	13526,4636534461
170	170	59,8243835	30,488675	67,7349354721883	145,40385376919	13886,5384082966	13594,093283355
171	171	59,8239551	30,4892688	58,2020166122217	145,134305221474	13944,7404249088	13652,1897983163
172	172	59,823491	30,4899305	63,6493859766143	144,371753015712	14008,3898108854	13715,6684946814
173	173	59,8233117	30,4901756	24,2501097431741	145,505675452297	14032,6399206286	13739,8843849738
174	174	59,8230618	30,490526	34,0808627473586	144,822985618255	14066,7207833759	13773,8933015875
175	175	59,8226173	30,4911375	60,2422860763898	145,335078178681	14126,9630694523	13834,0415127091
176	176	59,8221762	30,49174	59,6439683823906	145,526094391618	14186,6070378347	13893,6038533044
177	177	59,8217368	30,492374	60,5098295533647	144,046134355082	14247,1168673881	13953,930141029
178	178	59,8212939	30,4930033	60,6722344496174	144,463440335367	14307,7891018377	14014,4524330855
179	179	59,8208523	30,4935998	59,5007491908295	145,822307393188	14367,2898510285	14073,8892642362
180	180	59,8204128	30,4942059	59,6131597978553	145,267806165532	14426,9030108264	14133,4096303456
181	181	59,8200411	30,4947272	50,6970938398982	144,814591597102	14477,6001046663	14184,00454661
182	182	59,8196819	30,4952493	49,5928033541528	143,844252475944	14527,1929080204	14233,4379028149
183	183	59,8188983	30,4963458	106,798010533295	144,874924508864	14633,9909185537	14340,031692014
184	184	59,8179292	30,4976992	131,994878507545	144,927456118632	14765,9857970613	14471,7855412738
185	185	59,8171172	30,4988596	111,456934558689	144,304221120376	14877,44273162	14582,9632756018
186	186	59,8164887	30,4996857	83,9720432471312	146,542088116839	14961,4147748671	14666,8940384297
187	187	59,8161362	30,5001857	48,2631111374111	144,505408929141	15009,6778860045	14715,0496598516
188	188	59,8156869	30,5008316	61,7983731107002	144,141491891227	15071,4762591152	14776,6841940941
189	189	59,815462	30,5011345	30,2763355632114	145,895752885278	15101,7525946784	14806,9338011988
190	190	59,8147417	30,5021166	97,3473030686628	145,56821741302	15199,0998977471	14904,1710093936
191	191	59,8140474	30,5031063	95,2223126999205	144,370071234296	15294,322210447	14999,1724876469
192	192	59,8133033	30,5041248	100,690768300261	145,463187418736	15395,0129787473	15099,744048086
193	193	59,8121729	30,505709	154,152047787862	144,828548085985	15549,1650265351	15253,6250410704
194	194	59,811007	30,5072993	157,59495895199	145,55478375914	15706,7599854871	15411,05249123
195	195	59,8104265	30,5081239	79,5235048393873	144,461637859549	15786,2834903265	15490,4090559094
196	196	59,8098429	30,5089327	79,2942674352109	145,127063446099	15865,5777577617	15569,5923753711
197	197	59,8093421	30,5096287	68,107182866478	145,051113837882	15933,6849406282	15637,6003806915
198	198	59,8084349	30,510904	123,845522704941	144,742585870881	16057,5304633331	15761,2301238912
199	199	59,8079363	30,5116162	68,4345902542189	144,309114774357	16125,9650535874	15829,5145546101
200	200	59,8078669	30,511714	9,48167045547977	144,674875257595	16135,4467240428	15838,9796404932
201	201	59,8070199	30,5129079	115,733791676334	144,668273912247	16251,1805157192	15954,5079553062
202	202	59,8062459	30,513981	105,181385160317	145,113586342333	16356,3619008795	16059,5501714287
203	203	59,8061555	30,5141062	12,280197016704	145,141635879944	16368,6420978962	16071,8148543779
204	204	59,8061312	30,51414	3,30687020233001	145,025492266446	16371,9489680985	16075,116000857
205	205	59,8030833	30,5183356	413,231819175105	145,304874076237	16785,1807872736	16487,8847050373
206	206	59,8030833	30,5183356	0		16785,1807872736	16487,8847050373
207	207	59,8026304	30,5189868	62,3059761427734	144,125627345578	16847,4867634164	16550,0499152316
208	208	59,8026304	30,5189868	0		16847,4867634164	16550,0499152316
209	209	59,8022289	30,5195507	54,7972858646241	144,761571742724	16902,284049281	16604,7616065694
